00138AB3ED7A8C058825782A00740AE4&count=5;AL'S GOURMET FALAFEL;181 LePage Road;
D06D99AC96FEDDD988257137007B2A03&count=5;VICTORIA FUN FOODS;Ship's Point;
D08C58EFD4D63B688825738000783F4B&count=5;CASTELLO COFFEE;1802 Douglas Street;
D0CCD832547CFB95882573DA00642606&count=5;STIR IT UP;G1 - 1284 Gladstone Avenue;
D107A7E350E729CA88257905005B427F&count=5;LIBERTY CAFE;708 Douglas Street;
D17277480A6492E0882569B7000CE99E&count=5;JAMES BAY ATHLETIC;205 Simcoe Street;
D1D598AC758CF3F2882569B7000CE7BD&count=5;PITA PIT;1221 Wharf Street;
D21077ED884B235E882571BD007D6B3A&count=5;KISSAKO GREEN TEA CAFE;2027 Oak Bay Avenue;
D271AF25032C743C882569B7000CE36D&count=5;PHILIPPINE'S ORIENTAL VARIETY;3185 Quadra Street;
D2B49769590659FF882578DB007306CB&count=5;FAT DADDY'S CATERING;6 1115 North Park Road;
D354D671466F828A8825772E005F2747&count=5;UNTAMED FEAST;2 - 625 Hillside Avenue;
D36CFDE00EA24DED882578140066BA91&count=5;LA FOGATA LATINA;749 View Street;
D3A7D3428B6DD8A6882569B7000CE7A6&count=5;INTERNATIONAL WOMEN'S CATERING;1335 Thurlow Road;
D3C230D4D2146CAB882572C800689144&count=5;PALAGIO;2637 Quadra Street;
D3F0CEB3C2C86CE4882569B7000CE373&count=5;WELLBURN'S;1058 Pandora Avenue;
D40725B0CF3D587F88257030006E48BC&count=5;JAMES BAY CARE CENTRE;336 Simcoe Street;
D429D78CCFB547EF88257AAF0074E30F&count=5;MELTING MOMENTS CATERING;195 Bay Street;
D43BBE55DF7C35448825765D005CF8DF&count=5;TIBETAN KITCHEN CAFE;680 Broughton Street;
D49ADB545250323D88257A170077DCC2&count=5;MIXER FOOD MART;20 797 Hillside Avenue;
D4E908481354E484882569B7000CE6B2&count=5;LOGAN'S PUB;1821 Cook Street;
D5876B2C0B6F980E88257088007EAEC3&count=5;QV CAFE & BAKERY;1701 Government Street;
D5A5A05E27354949882578D800617E32&count=5;JOHN'S NOODLE VILLAGE;823 Bay Street;
D5BDC8C93C3DF68E88257A0D00624826&count=5;TALLY HO LOUNGE;3020 Douglas Street;
D5CD9AF03D829F3E88256D7F005FA8F0&count=5;NEW YORK FRIES;411 - 1150 Douglas Street;
D6393F7DABE4A0F5882569B7000CE377&count=5;WELLBURN'S, MEAT;1058 Pandora Avenue;
D63B28FF3A1EB6158825784600797C90&count=5;MIGLIORI'S;1650 Hillview Avenue;
D63CC0BBA4DA3AF6882569B7000CE33E&count=5;GOLDSTREAM CATERING;621 John Street;
D6749B305528A3D688256B8300000C09&count=5;CHOCOLATERIE BERNARD CALLEBAUT;621 Broughton Street;
D74FAD96EADD8DC788256BE3006350CE&count=5;MILESTONE'S - THE DECK;812 Wharf Street;
D77DF101D2F05230882569B7000CE55E&count=5;DA TANDOOR;1010 Fort Street;
D7A31A2A3CFE8E9C88257012005C531D&count=5;AMICA AT DOUGLAS HOUSE;50 Douglas Street;
D7CDD7FEBE521975882579F0005B672B&count=5;AUTHENTIQUE;855 Langford Parkway;
D7D8FC83C419235A882575B40072961A&count=5;LAUREL HOUSE;1452 Elford Street;
D7D98E30D8DA51A088257A140075ABFF&count=5;VIHA ROYAL JUBILEE, 2.MATO #63252;PCC ROOM #160A 1952 Bay Street;
D7F1F40BB993C445882569B7000CE64F&count=5;ETHNIC RE CREATIONS;Unit 2 555 Hillside Avenue;
D82FA76A06C81755882569B7000CE456&count=5;COOK STREET VILLAGE ACTIVITY CENTER;1 - 380 Cook Street;
D82FFA647977B33D882579E2007F1859&count=5;HUNTER'S CLUB BAR & GRILL;330 Quebec Street;
D8554E46358087A2882569B7000CE7C2&count=5;SAVE ON FOODS #973, BAKERY;172 Wilson Street;
D85CDE8AD242DCBF88256F54005E253F&count=5;SANDRINGHAM CARE CENTRE; 1650 Fort Street;
D881AB906D4A7F51882576C70062CDE4&count=5;JOE'S SEAFOOD BAR ;101 - 1208 Wharf Street;
D9414816702B7E0488256D8A007FAA6F&count=5;CHEZ MICHEL RESTAURANT;1871 Oak Bay Avenue;
D945CEE8785D16C4882569B7000CE994&count=5;OPTIMIST CLUB OF VICTORIA;Capital Regional District;
D983A40A11521594882569B7000CE479&count=5;TIM HORTONS, GORGE;456 Gorge Road East;
D9A0BC334E613543882569B7000CE3AB&count=5;PURDY'S CHOCOLATES;3184 Shelbourne Street;
D9AB7AB5CB15EEFC882569B7000CE3FA&count=5;ROYAL ATHLETIC PARK CONCESSION 4,5,6;1014 Caledonia Avenue;
D9E19DDEBC036824882569B7000CE351&count=5;SAN REMO;2709 Quadra Street;
DA22D61486EC2813882569B7000CEA0D&count=5;OAK BAY LODGE, KITCHEN; 2251 Cadboro Bay Road;
DA3F7E5431A0EA76882569B7000CE9B9&count=5;VICTORIA ADDICTIONS & REHABILITATION CENTRE HOPE VAN;525 Johnson Street;
DA8D590B0447961B882578E800681A57&count=5;PIG BBQ JOINT;1913 Sooke Road;
DAB4949AF6E4DB0F88257AD1007896F8&count=5;FAIRMONT EMPRESS - THE EMPRESS ROOM;721 Government Street;
DAB4C14F673C0808882569B7000CE5BD&count=5;HOTEL GRAND PACIFIC MAIN KITCHEN;463 Belleville Street;
DABABDA8768DD252882572BC005B2DA8&count=5;LE PETIT SAIGON VIETNAMESE RESTAURANT;1010 Langley Street;
DAD1E0112E849E47882569B7000CE7B8&count=5;MR. TUBE STEAK #160 ;860 Yates Street;
DB2114CB04D5D2F1882569B7000CE7DF&count=5;YOKOHAMA JAPANESE RESTAURANT;980 Blanshard Street;
DB2779DA9B6CB6E0882569B7000CE4F7&count=5;FRANK'S HONEYBUN CAFE;C 587 Bay Street;
DB56649333940992882569B7000CE371&count=5;7-ELEVEN;904 Yates Street;
DB950413793EC1528825748D0056FDC5&count=5;CAFFE ARTIGIANO;1140 Government Street;
DC693893D089EB708825760A006911D2&count=5;SUMERIA CAFFE BAR TO GO;1329 Cook Street;
DCD7666DA3920576882574A900598E20&count=5;TAOIST TAI CHI SOCIETY;865 Catherine Street;
DD2E5DF6EB3F7104882577D20080CB31&count=5;SKINNYTATO;615 Johnson Street;
DD4B75F16FA5A90888256B4B0066F9FC&count=5;CHIKARA SUSHI JAPANESE RESTAURANT;280 2950 Douglas Street;
DD68A3F580AB111988257171006CF5EB&count=5;HERNANDE'Z;130 737 Yates Street;
DD87D657D3EE99A68825782600781223&count=5;CASA CONVENIENCE STORE;102 1483 Douglas Street;
DD97EAACF95257F488256CC900670118&count=5;KENTUCKY FRIED CHICKEN;FC 8 3147 Douglas Street;
DDFB1E96759440B38825710600762BAE&count=5;CAFE CEYLON;104 - 1175 Cook Street;
DE444F799C71DA1788256C86007D1296&count=5;SECOND SLICE PIZZA;1680 Douglas Street;
DE9F641CE8EDDB89882569B7000CE580&count=5;STARBUCKS COFFEE CO. #4234;1959 Fort Street;
DEBACE11245F74278825785C007A6BB3&count=5;BITE ME! TREATS;1 - 129 Crofton Road;
DEC2A6FFEA236BE48825720D00567AC8&count=5;MUSEUM CAFE;675 Belleville Street;
DF03C3DCC4D3A946882570F3005E2D32&count=5;DINNERS READY;135 Harrison Avenue;
DF0CDF8CBF65B7D98825703D006707FA&count=5;WILD WEST SALMON GRILL;Vancouver Island Health Authority;
DF5E2E3ABEA2E763882572A5007C399D&count=5;FORT STREET CAFE;742 Fort Street;
DF84B6703FBEC68A882570F30063063C&count=5;GLO EURO PUB & GRILL RESTAURANT;104 2940 Jutland Road;
DF906FC097F80F858825792E00680A3C&count=5;BENJAMIN'S BITES ALLERGY FRIENDLY COOKIES;A - 2740 Rock Bay Avenue;
DFB56FEA4D097C128825770700654C92&count=5;AJ'S ORGANIC CAFE;109 800 Yates Street;
E047FE176C4A8C63882572FE0074AF16&count=5;MINTON HOUSE;1070 Southgate Road;
E096BA2169C0D67E88256A3900735112&count=5;COURTYARD CAFE;463 Belleville Street;
E0ACC9319C785C37882579DF007F2EED&count=5;ALI BABA PIZZA MAYFAIR;FC-6 3147 Douglas Street;
E0E86A1CACEE8AB0882579E30058F449&count=5;THE GATSBY MANSION;309 Belleville Street;
E11A87DC7F1B1CEC8825728F006D3591&count=5;WOODEN SHOE DELICATESSAN;2576 Quadra Street;
E1517DB0D1824C43882569B7000CE35C&count=5;YOUNG'S RESTAURANT;2638 Quadra Street;
E1907A132A4E6248882569B7000CE4D8&count=5;CROWN PALACE/CHICKEN ON THE RUN;405 Craigflower Road;
E1B82126731AF332882577F1007B281C&count=5;PURE HEALTH LOUNGE;0228 - 1150 Douglas Street;
E2346476CD6BB493882569B7000CE303&count=5;ROGER'S CHOCOLATES;913 Government Street;
E2F35C1C78A985B78825785A00561E76&count=5;MOKA HOUSE FORT STREET;1769 Fort Street;
E37B28BE83CCA99988257735005ACD77&count=5;ROZY'S JAMS;1335 Thurlow Road;
E39AE2FAA50A87A2882569B7000CE85D&count=5;MARKET ON YATES, MEAT & FISH;903 Yates Street;
E41B438B1B95A1C4882569B7000CE528&count=5;STRATHCONA HOTEL MAIN FLOOR KITCHEN;919 Douglas Street;
E47DD7B067BB5199882570BA00828E04&count=5;KING SEJONG RESTAURANT;650 Yates Street;
E539A732BBD26D5688256B8000794670&count=5;CHAPTERS STARBUCKS;1212 Douglas Street;
E565E8D6D2FAB3588825714C006FF0E8&count=5;DRAGON GATE RESTAURANT;D 1609 Fort Street;
E56C3AA41FEE14618825748300717B76&count=5;SUBWAY;103 230 Cook Street;
E591EA9A8C3752408825759800651606&count=5;CAFFÉ TEATRO;990 Blanshard Street;
E679C45D3755450E88256DC100739698&count=5;VICTORIA DETOX;1123 Pembroke Street;
E6985D6BCAEB3F9B882569B7000CE34C&count=5;PAUL'S MOTOR INN RESTAURANT;1900 Douglas Street;
E69C5BD7711EBAA3882570F8007F7F94&count=5;UNION PACIFIC COFFEE COMPANY;537 Herald Street;
E6CA1C2236B2C5D988256AD200625E6C&count=5;JOINT PIZZERIA & DELI;1219 Wharf Street;
E757950983C134498825770E005E3CE9&count=5;DYNASTY VICTORIA RESTAURANT;546 Fisgard Street;
E7EB47D65A5F6C1F88257A2900705C91&count=5;IL FORNO DI CLAUDIO;351 Cook Street;
E89671019D6957488825708B007C8AAA&count=5;SAN REMO MARKET DELI;1002 Hillside Avenue;
E8A011DFFF108E068825741100723207&count=5;MURCHIE'S TEA & COFFEE;1110 Government Street;
E93402CE4EC9D59D88257A750059BDE3&count=5;ITAMI RESTAURANT;708 View Street;
E951A3A2A65BBA578825782C007FCC97&count=5;CLARE MART FOODS;1273 Fairfield Road;
E99D1B5B435F2BC188257AD100784896&count=5;FAIRMONT EMPRESS - BENGAL LOUNGE;721 Government Street;
E9B317BC8225CFA58825790600710CC3&count=5;ROYAL CANADIAN LEGION #7, KITCHEN;780 Summit Avenue;
E9CE61662D7ED3E588256C71000074F2&count=5;FIRE & WATER LOUNGE;728 Humboldt Street;
E9EE9F21D6C82E8988257A3E00651A0F&count=5;THE LEDGE;1140 Government Street;
EA9BACA8EB21FE6D88257757006446FD&count=5;JUICIE BRUICE #2;1 - 182 Kings Lane;
EC460B79D64CD86F88256DC000718A7C&count=5;BLAIR MART;924 Pandora Avenue;
ECB1ED09EAA1118788257754007A91BB&count=5;PHO VY VIETNAMESE RESTAURANT;772 Fort Street;
ECBCF4773BD6265788256D25005A9376&count=5;YELLOW COFFEE BAR;Capital Regional District;
ECD55E312EBAC678882569B7000CE39D&count=5;CANADA SAFEWAY #80, GROCERY;1950 Foul Bay Road;
ECE1DB509926C83788257B16006729DB&count=5;THE LITTLE CAKERY AND CHOCOLA TEA;109 800 Yates Street;
ED75DC54A7A11289882569B7000CE7AA&count=5;OCEAN ISLAND BACKPACKER'S INN;791 Pandora Avenue;
EDB97CABE42C57FC882578ED007150A1&count=5;HOT DOG CART;811 St. Charles Street;
EDFFF8F11F9824C78825785400616EC6&count=5;QUIZNO'S SUB;170 2950 Douglas Street;
EE1148C0CC29C7F6882578B600688700&count=5;DAVIDS TEA, #55;606 Johnson Street;
EE204E2051732F7888257093007E9CF6&count=5;SERIOUS COFFEE;4 3075 Douglas Street;
EE6661196881EED088257B170001AE89&count=5;SAMMICH CAFE;200A - 1150 Douglas Street;
EEAB684D528AD0B5882574F600802793&count=5;CAFFE FANTASTICO;102 - 398 Harbour Road;
EF216109B5C89AE9882579BC00763FDC&count=5;OH SUGAR;101 561 Johnson Street;
EF37A0F73175EC348825705A00650F11&count=5;STARBUCKS COFFEE CO. #4653;1234 Government Street;
EF693F113FD55B8988257A41007C5981&count=5;KOTO JAPANESE RESTAURANT;510 Fort Street;
EF781AF418CE3D96882569B7000CE454&count=5;IL TERRAZZO;555 Johnson Street;
F0360C6E17FE72BE882569FF0069C819&count=5;LIFESTYLE MARKETS;343 Cook Street;
F09AC60EE4AFB3EE882569B7000CE8D6&count=5;HUSH NIGHTCLUB;1325 Government Street;
F0CD70FEE81727928825774B0075FD76&count=5;SALT SPRING NOODLE BAR/BIG BARREL ROOT BEER;115 Howard Road;
F104E06CD033007C8825789300628900&count=5;BURGER KING;1328 Douglas Street;
F1270FE71824000188256F940066E2EF&count=5;VANCOUVER ISLAND PASTA;9 - 626 Esquimalt Road;
F156302CCC2AB4CC882579CD0065F0F5&count=5;JAM CAFE;542 Herald Street;
F1C7B3FB66E75B7788256FB800623774&count=5;GARRICKS HEAD, KITCHEN;1140 Government Street;
F27FD00893ACAE0188256ED0007EDC14&count=5;CAFÉ 932;101 - 932 Johnson Street;
F28421AE4C2A4488882569B7000CE2FD&count=5;ITALIAN FOOD IMPORTS;1114 Blanshard Street;
F32BAA18A8C30A2E88256E45007B227C&count=5;ORCHARD ON VIEW;205A - 1150 Douglas Street;
F39E8A4C1C124749882569B7000CE429&count=5;TRAFALGAR/PRO PATRIA BRANCH #292, KITCHEN;411 Gorge Road East;
F3A23A77C75E103E88257424007B5520&count=5;OOH LA LA CUPCAKES;A 1391 Hillside Avenue;
F3B515D428CEB860882573530077756C&count=5;THRIFTY FOODS #6, MEAT/SEAFOOD;475 Simcoe Street;
F3CB32DBF0528576882569B7000CE698&count=5;QUONLEY'S MARKET;1628 Government Street;
F3FF88015C0B6F04882571640060EABB&count=5;SEVEN VALLEYS FINE FOOD & DELI;2506 Douglas Street;
F419BB71B86ED275882575D2005F9ADF&count=5;THE FISH STORE;310 St. Lawrence Street;
F4625EFAEA5BD6CB882576B10080B36C&count=5;MOON UNDER WATER PUB & BREWERY;B 350 Bay Street;
F4995EBFB3EDC0B3882569B7000CE4A0&count=5;SPICE JAMMER RESTAURANT;852 Fort Street;
F4A98F7D56D6F16088257451007BBB26&count=5;ORANGE JULIUS;FC 12 - 3147 Douglas Street;
F4F368E40D474AF8882579F30064BD15&count=5;BELMIRO'S, LOUNGE;777 Douglas Street;
F52D590AB96B7A5288257B2B005A54C4&count=5;HOOK FINE FOODS;805 Fort Street;
F52F8C7C8C5206168825718E007F62CC&count=5;WRAPITA;165 2950 Douglas Street;
F54E9F48F10D78D5882569B7000CE361&count=5;ROYAL CANADIAN LEGION #7;780 Summit Avenue;
F5D9497CF4E3C621882577120074FEA9&count=5;THE BLUE NOTE CAFÉ;201 Menzies Street;
F5E3CA5D85730E9D88257AA6006F4C48&count=5;BURGER KING;105 - 910 Government Street;
F61495CA4BD440D0882569B7000CE66F&count=5;MAC'S CONVENIENCE STORE, QUADRA;2635 Quadra Street;
F64AB7B9E6C29BC5882569B7000CE9A1&count=5;CANADIAN CANCER SOCIETY LODGE;2202 Richmond Road;
F6F1073E77221D4C8825759A0076D4E2&count=5;THE FLYING OTTER GRILL;950 Wharf Street;
F74F4FA0EB12A0808825777D0056B748&count=5;JACKSON'S ICE CREAM;Broughton St. Pier;
F7B78D0CBB9A94FE8825768E000233EF&count=5;ISLAND MEAT & SEAFOOD;307 Cook Street;
F7DC835209A4C325882574C2005A94CB&count=5;CRYSTAL GARDEN KITCHEN;713 Douglas Street;
F804801D91910C32882569B7000CE8A7&count=5;CLUBHOUSE BAR;919 Douglas Street;
F85BA7F39B15FD7C88256FB000837FAE&count=5;SEN ZUSHI;940 Fort Street;
F8636CF08EAA84B988256B0A0080A49A&count=5;BEAGLE PUB;301 Cook Street;
F895F3B77B74E0ED88256FD900814043&count=5;LOGANS PUB, KITCHEN;1821 Cook Street;
F89FF722AFC1DA87882569B7000CE90C&count=5;BEST BUY;1710 Douglas Street;
F8E034F923CA9C6B882579F200792A4A&count=5;BREAKWATER CAFE & BISTRO;199 Dallas Road;
F9A570898615B07688257B5C0080BC10&count=5;SOOKJAI THAI RESTAURANT;893 Fort Street;
F9E0818525807638882569B7000CE6D8&count=5;LOTUS POND VEGETARIAN RESTAURANT;617 Johnson Street;
FAF831188BB2D751882577A7007D349F&count=5;REAL TASTE OF INDIA RESTAURANT;766/768 Fort Street;
FB0A0BF68650D8EE88257330005D120A&count=5;BURNSIDE GORGE COMMUNITY CENTRE;471 Cecelia Road;
FB7E432B0FBBEA918825793E005A7493&count=5;SWANS - MARQUIS ROOM;1601 Store Street;
FB8F1144FADAEBBF88257560005E4220&count=5;BURDETT HOUSE;923 Burdett Avenue;
FBD2D0BCB7BFA85988257015007B8812&count=5;CHOUX CHOUX CHARCUTERIE;830 Fort Street;
FBFD1CF0BB0DD8CF882569B7000CE350&count=5;ROYAL ATHLETIC PARK CONCESSION 1&2;1014 Caledonia Avenue;
FC2B20BFC98BF376882579D5006A88F4&count=5;THE REFINER DINER;1015 Balmoral Road;
FD036313DB96770488257324007BDCA4&count=5;AMART, MEAT;652 Yates Street;
FD48D6CEE90B9FB388256CC300672139&count=5;REEF RESTAURANT;533 Yates Street;
FD53CCA1A35E332A882569B7000CE474&count=5;STADACONA FOOD MARKET;1563 Pandora Avenue;
FD78E97C9D2C2F1C882578620073D213&count=5;TOMLEY'S MARKET;716 Johnson Street;
FE9620D844B8A231882570CF00013681&count=5;ALI BABA PIZZA;775 Fort Street;
FEADB8200B51991A8825780F006BD2EB&count=5;SAVOURY CAFE, THE;106 1841 Oak Bay Avenue;
FF6750970D52A191882569B7000CE387&count=5;DAIRY QUEEN;1605 Hillside Avenue;
FF9289C107CFC76388257728006DE098&count=5;WANNAWAFEL #2;913 Dunn Avenue;
FFC43C11469A5C99882569B7000CE5D9&count=5;MEGA MART;456F Gorge Road East;
FFDF2C6A30DE2BCA882572EB007B99AD&count=5;BON BISTRO & BAR;611 Courtney Street;
FFF970D247932245882569B7000CE29D&count=5;SPINNAKER'S;308 Catherine Street;
